version,release_date,feature_name,category,models,hardware,description
2023.6.100.1,"April 24, 2023",Power Meter,New Feature,,,
2023.6.100.1,"April 24, 2023",App Displays the Vehicle's Route,Undocumented Change,,,
2023.6.15,"April 17, 2023",Full Self-Driving (Beta),New Feature,,,
2023.6.15,"April 17, 2023",FSD Beta v11.4,New Feature,,,
2023.6.15,"April 17, 2023",Driving Visualization Improvements,New Feature,,,
2023.6.15,"April 17, 2023",Full Self-Driving (Beta) Suspension,New Feature,,,
2023.6.15,"April 17, 2023",Park Assist,New Feature,,,
2023.6.15,"April 17, 2023",Steering Wheel Heat,New Feature,,,
2023.6.15,"April 17, 2023",Auto Steering Wheel Heat,New Feature,,,
2023.6.15,"April 17, 2023",New Language Support,New Feature,,,
2023.6.15,"April 17, 2023",Sentry Mode Lighting,New Feature,,,
2023.6.15,"April 17, 2023",Zoom Meetings,New Feature,,,
2023.6.15,"April 17, 2023",Manual App,Undocumented Change,,,
2023.6.15,"April 17, 2023",Reverse Camera,Undocumented Change,,,
2023.6.15,"April 17, 2023",Climate System Warming Up,Undocumented Change,,,
2023.6.15,"April 17, 2023",Improvements to Service Mode,Undocumented Change,,,
2023.6.15,"April 17, 2023",Browser,Undocumented Change,,,
2023.6.15,"April 17, 2023",Tire Pressure Card,Undocumented Change,,,
2023.6.15,"April 17, 2023",Improvements to Apple Music,Undocumented Change,,,
2023.6.15,"April 17, 2023",Supercharger Prices,Undocumented Change,,,
2023.6.15,"April 17, 2023",Welcome Screen,Undocumented Change,,,
2023.6.15,"April 17, 2023",Seat Heater Icons,Undocumented Change,,,
2023.6.15,"April 17, 2023",Updated Autopilot Menu,Undocumented Change,,,
2023.6.15,"April 17, 2023",Suspension Menu,Undocumented Change,,,
2023.6.9,"March 24, 2023",Park Assist,New Feature,,,
2023.6.9,"March 24, 2023",Steering Wheel Heat,New Feature,,,
2023.6.9,"March 24, 2023",New Language Support,New Feature,,,
2023.6.9,"March 24, 2023",Dog Mode,New Feature,,,
2023.6.9,"March 24, 2023",Sentry Mode Live Camera Access,New Feature,,,
2023.6.9,"March 24, 2023",Trip Planner,New Feature,,,
2023.6.9,"March 24, 2023",Zoom Meetings,New Feature,,,
2023.6.9,"March 24, 2023",Apple Music,New Feature,,,
2023.6.9,"March 24, 2023",App Displays the Vehicle's Route,Undocumented Change,,,
2023.6.9,"March 24, 2023",Manual App,Undocumented Change,,,
2023.6.9,"March 24, 2023",Reverse Camera,Undocumented Change,,,
2023.6.9,"March 24, 2023",Climate System Warming Up,Undocumented Change,,,
2023.6.9,"March 24, 2023",Browser,Undocumented Change,,,
2023.6.9,"March 24, 2023",Tire Pressure Card,Undocumented Change,,,
2023.6.9,"March 24, 2023",Improvements to Apple Music,Undocumented Change,,,
2023.6.9,"March 24, 2023",Welcome Screen,Undocumented Change,,,
2024.14,"April 17, 2024",Visual Updates,New Feature,,,
2024.14,"April 17, 2024",Hands-Free Trunk,New Feature,,,
2024.14,"April 17, 2024",Preview of Sentry Mode Recordings,New Feature,,,
2024.14,"April 17, 2024",Trip Progress Bar,New Feature,,,
2024.14,"April 17, 2024",Spotify Queue and Playback Speed,New Feature,,,
